link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,original_link_id,original_node_id,main_node_id,movement_str,TMC
76,46801,20201,,,316.2597838597758,1,nan,120.0,motorway,1,,"LINESTRING (-112.02905 33.42599,-112.02859 33.42591,-112.02806 33.4258,-112.02762 33.42568,-112.02707 33.42549,-112.02666 33.42534,-112.02616 33.42513,-112.02583 33.42513)",76,,,,
77,5401,48400,,,454.4867782000646,1,nan,120.0,motorway,1,,"LINESTRING (-112.0242 33.42466,-112.02468 33.42506,-112.02501 33.42527,-112.02537 33.42547,-112.02574 33.42566,-112.02629 33.42593,-112.02687 33.42617,-112.02739 33.42637,-112.02837 33.42666,-112.02841 33.42667)",77,,,,
78,20300,2800,,,71.99477285589353,5,nan,104.0,motorway,1,,"LINESTRING (-112.03712 33.44707,-112.03709 33.44772)",78,,,,
79,20400,14100,,,160.95001026796035,1,nan,104.0,motorway,1,,"LINESTRING (-112.03733 33.44707,-112.03732 33.44852)",79,,,,
80,20501,13400,,,254.91351410934664,1,nan,104.0,motorway,1,,"LINESTRING (-112.03739 33.44706,-112.0374 33.44657,-112.03743 33.44624,-112.03746 33.44586,-112.0376 33.44476)",80,,,,
81,12601,20501,,,162.35574840864484,1,nan,104.0,motorway,1,,"LINESTRING (-112.03738 33.44853,-112.03739 33.44706)",81,,,,
82,20601,13400,,,254.15230068190104,4,nan,104.0,motorway,1,,"LINESTRING (-112.03758 33.44706,-112.03758 33.44586,-112.0376 33.44476)",82,,,,
83,20701,20601,,,166.87849192749712,4,nan,104.0,motorway,1,,"LINESTRING (-112.03758 33.44857,-112.03758 33.44706)",83,,,,
84,47401,21100,,,291.7148384695662,4,nan,104.0,motorway,1,,"LINESTRING (-112.03711 33.44854,-112.03711 33.44929,-112.0371 33.45038,-112.03711 33.45117)",84,,,,
85,14100,21300,,,292.141165274552,1,nan,104.0,motorway,1,,"LINESTRING (-112.03732 33.44852,-112.03731 33.45026,-112.03731 33.45074,-112.03732 33.45116)",85,,,,
86,20801,13800,,,32.40686044107791,2,nan,120.0,motorway,1,,"LINESTRING (-112.03643 33.45125,-112.03638 33.45154)",86,,,,
87,13800,12702,,,446.21945903081286,1,nan,120.0,motorway,1,,"LINESTRING (-112.03638 33.45154,-112.03628 33.45203,-112.03626 33.45231,-112.03625 33.45272,-112.03624 33.45317,-112.03627 33.45359,-112.03634 33.45401,-112.03643 33.45467,-112.03655 33.45554)",87,,,,
88,20900,21000,,,54.68846611794647,2,nan,88.0,motorway,1,,"LINESTRING (-112.03679 33.45116,-112.03673 33.45166)",88,,,,
89,21000,12702,,,431.71654201098454,2,nan,88.0,motorway,1,,"LINESTRING (-112.03673 33.45166,-112.03665 33.45217,-112.0366 33.45256,-112.03654 33.45305,-112.03652 33.45345,-112.03651 33.45373,-112.0365 33.45401,-112.0365 33.45443,-112.03655 33.45554)",89,,,,
90,21100,21200,,,64.88232489502104,4,nan,104.0,motorway,1,,"LINESTRING (-112.03711 33.45117,-112.0371 33.45176)",90,,,,
91,21200,6501,,,525.310722406864,4,nan,104.0,motorway,1,,"LINESTRING (-112.0371 33.45176,-112.03704 33.4565)",91,,,,
92,6501,6701,,,1284.5892158236666,4,nan,104.0,motorway,1,,"LINESTRING (-112.03704 33.4565,-112.03701 33.45887,-112.03707 33.4593,-112.03718 33.45971,-112.03731 33.46005,-112.03751 33.4604,-112.03771 33.46069,-112.03795 33.46095,-112.03827 33.46119,-112.03856 33.4614,-112.03877 33.46154,-112.039 33.46167,-112.03948 33.46186,-112.04005 33.46203,-112.04048 33.46211,-112.04103 33.46214,-112.04438 33.46217,-112.04506 33.46218,-112.04584 33.4622)",92,,,,
93,21300,14200,,,430.31440413143866,1,nan,104.0,motorway,1,,"LINESTRING (-112.03732 33.45116,-112.03732 33.45176,-112.0373 33.45249,-112.03727 33.45272,-112.03724 33.45287,-112.03719 33.45311,-112.03714 33.45331,-112.03706 33.45355,-112.03698 33.45378,-112.03688 33.45405,-112.03683 33.45421,-112.0368 33.45433,-112.03675 33.45459,-112.03671 33.45479,-112.0367 33.45498)",93,,,,
94,21401,12601,,,291.1086615538843,1,nan,104.0,motorway,1,,"LINESTRING (-112.03739 33.45115,-112.03739 33.45077,-112.03739 33.45025,-112.03738 33.44853)",94,,,,
95,21500,300,,,62.01462147748626,1,nan,120.0,motorway,1,,"LINESTRING (-112.0376 33.45175,-112.03764 33.45119)",95,,,,
96,43901,20701,,,205.17874034474946,4,nan,104.0,motorway,1,,"LINESTRING (-112.03758 33.45042,-112.03758 33.45022,-112.03758 33.44955,-112.03758 33.44857)",96,,,,
