link_id,from_node_id,to_node_id,time_period,duration_in_sec,state,state_code
26811,14279,14283,0805:00.000_0805:41.000,41,1,g
26811,14279,14283,0805:41.000_0806:40.000,59,0,r
26811,14279,14283,0806:40.000_0807:21.000,41,1,g
26811,14279,14283,0807:21.000_0808:20.000,59,0,r
26811,14279,14283,0808:20.000_0809:01.000,41,1,g
26811,14279,14283,0809:01.000_0810:00.000,59,0,r
26811,14279,14283,0810:00.000_0810:41.000,41,1,g
26811,14279,14283,0810:41.000_0811:40.000,59,0,r
26811,14279,14283,0811:40.000_0812:21.000,41,1,g
26811,14279,14283,0812:21.000_0813:20.000,59,0,r
26811,14279,14283,0813:20.000_0814:01.000,41,1,g
26811,14279,14283,0814:01.000_0815:00.000,59,0,r
26811,14279,14283,0815:00.000_0815:41.000,41,1,g
26811,14279,14283,0815:41.000_0816:40.000,59,0,r
26811,14279,14283,0816:40.000_0817:21.000,41,1,g
26811,14279,14283,0817:21.000_0818:20.000,59,0,r
26811,14279,14283,0818:20.000_0819:01.000,41,1,g
26811,14279,14283,0819:01.000_0820:00.000,59,0,r
26811,14279,14283,0820:00.000_0820:41.000,41,1,g
26811,14279,14283,0820:41.000_0821:40.000,59,0,r
26811,14279,14283,0821:40.000_0822:21.000,41,1,g
26811,14279,14283,0822:21.000_0823:20.000,59,0,r
26811,14279,14283,0823:20.000_0824:01.000,41,1,g
26811,14279,14283,0824:01.000_0825:00.000,59,0,r
26811,14279,14283,0825:00.000_0825:41.000,41,1,g
26811,14279,14283,0825:41.000_0826:40.000,59,0,r
26811,14279,14283,0826:40.000_0827:21.000,41,1,g
26811,14279,14283,0827:21.000_0828:20.000,59,0,r
26811,14279,14283,0828:20.000_0829:01.000,41,1,g
26811,14279,14283,0829:01.000_0830:00.000,59,0,r
